Название товара или услуги,Цена продажи,Краткое описание,Изображения,Размещение на сайте,old url,Свойство:РАЗМЕР
Мужские брюки - Макар,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, хлопковые&nbsp;брюки с заниженной линией сидения на пуговицах.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5504.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5505.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1888.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1907_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1901.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1905.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1910.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-makar.html,M
Мужские брюки - Макар,"7500,00.","
						<span class=""value"" itemprop=""description""><p>Широкие, хлопковые&nbsp;брюки с заниженной линией сидения на пуговицах.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5504.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5505.jpg, https://pirosmani.info/media/catalog/product/i/m/img_1888.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1907_1.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1901.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1905.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_1910.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/muzhskie-brjuki-makar.html,L
Худи - Поэт,"10500,00.","
						<span class=""value"" itemprop=""description""><p>Артистичный худи из футера с принтом в виде чёрного сердца на груди.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5229_1_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5234_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5235.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5236.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-pojet.html,XS
Худи - Поэт,"10500,00.","
						<span class=""value"" itemprop=""description""><p>Артистичный худи из футера с принтом в виде чёрного сердца на груди.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5229_1_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5234_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5235.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5236.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-pojet.html,S
Худи - Поэт,"10500,00.","
						<span class=""value"" itemprop=""description""><p>Артистичный худи из футера с принтом в виде чёрного сердца на груди.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5229_1_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5234_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5235.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5236.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-pojet.html,M
Худи - Поэт,"10500,00.","
						<span class=""value"" itemprop=""description""><p>Артистичный худи из футера с принтом в виде чёрного сердца на груди.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5229_1_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5234_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5235.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5236.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/hudi-pojet.html,L
Рубашка - Загадки огней,"9200,00.","
						<span class=""value"" itemprop=""description""><p>Лёгкая рубашка из чистого хлопка с уникальным принтом.&nbsp;</p></span>
		","https://pirosmani.info/media/catalog/product/d/4/d4b90876-39be-4ff3-bb43-7e47f4b6e0d5.jpeg, https://pirosmani.info/media/catalog/product/a/6/a6f5e7c3-7c77-42f2-83f3-b904d715538b.jpeg, https://pirosmani.info/media/catalog/product/b/3/b3d9c3f0-d11c-4e4d-81c3-b09ed9b8c5d2.jpeg, https://pirosmani.info/media/catalog/product/9/7/97e76415-0da3-424d-98c5-4eaa8a75cacb.jpeg, https://pirosmani.info/media/catalog/product/e/d/edc76b2a-90da-4573-92ee-cb5df26946ad.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/rubashka-zagadki-ognej.html,M
Брюки-бананы с принтом,"14000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрные брюки ""бананы"" с высокой талией, декорированы швами наружу и принтом, выполненным вручную. Ткань - хлопок с эластаном.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5191_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5190.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5189.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-banany-s-printom.html,S
Брюки-бананы с принтом,"14000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрные брюки ""бананы"" с высокой талией, декорированы швами наружу и принтом, выполненным вручную. Ткань - хлопок с эластаном.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5191_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5190.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5189.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-banany-s-printom.html,M
Брюки-бананы с принтом,"14000,00.","
						<span class=""value"" itemprop=""description""><p>Чёрные брюки ""бананы"" с высокой талией, декорированы швами наружу и принтом, выполненным вручную. Ткань - хлопок с эластаном.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5191_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5190.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5189.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/brjuki-banany-s-printom.html,L
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,36
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,37
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,38
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,39
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,40
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,41
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,42
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,43
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,44
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,45
Ботинки - Скала ваби-cаби,"20000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально)</p>
<p>«Подлинное научение ваби-саби&nbsp;происходит через осознание трёх простых фактов: ничто не вечно, ничто не закончено и ничто не совершенно»</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5184_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5185_3.jpg, https://pirosmani.info/media/catalog/product/i/m/img_5182.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-skala-vabi-cabi.html,35
Шапочка меховушка,"4500,00.","
						<span class=""value"" itemprop=""description""><p>Тёплая шапочка из иксусственного меха на утеплителе.</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_5909.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_5903.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4738.jpg","[""Мужчинам/Новинки""]",https://pirosmani.info/shapochka-mehovushka.html,M
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,36
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,37
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,38
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,39
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,40
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,41
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,42
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,43
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,44
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,45
Ботинки - Оригами бонсэки,"21000,00.","
						<span class=""value"" itemprop=""description""><p>Ботинки из натуральной кожи, на массивной платформе, выполнены вручную (платформа вытачивается мастером индивидуально.&nbsp;</p>
<p>Художественный принт, сродни японским кругам энсо, выполнен в потоковом импульсе,&nbsp;кистью.</p>
<p>Каждый штрих отображает внутреннее состояние художника, в моменте здесь и сейчас.</p>
<p>Размерная сетка:</p>
<p>Жен.</p>
<p class=""p1"">35 - 22,5 - 23</p>
<p class=""p1"">36 - 23- 23,5 см<br>37 - 24- 24,5 см<br>38 - 24,7- 25 см<br>39 - 25,5- 25,7 см<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см</p>
<p>Муж.<br>40 - 26- 26,5 см<br>41 - 26,7- 27 см<br>42 - 27.5- 27,7 см<br>43 - 28- 28.7 см<br>44 - 29 см<br>45 - 29,7. см</p></span>
		","https://pirosmani.info/media/catalog/product/i/m/img_4686_2_1.jpg, https://pirosmani.info/media/catalog/product/i/m/img_4671.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4673.jpeg, https://pirosmani.info/media/catalog/product/i/m/img_4675.jpeg","[""Мужчинам/Новинки""]",https://pirosmani.info/botinki-origami-bonsjeki.html,35
